Word,Length,Freq_HAL,Log_Freq_HAL,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy
abutment,8,19,2.94,1089.5,1.1,442.43,6,0.19
abutments,9,18,2.89,1164.25,1.45,277.98,4,0.12
abysmal,7,619,6.43,714.58,-0.1,218.49,12,0.35
abyss,5,4219,8.35,651.44,-0.34,153.51,25,0.76
acacia,6,213,5.36,1013.5,0.32,457.5,2,0.06
academic,8,17622,9.78,716.91,-0.32,227.88,32,0.97
academically,12,725,6.59,868.61,0.36,233.76,31,0.97
academicianship,15,1,0,1150.45,1.31,395.78,11,0.48
academics,9,1817,7.5,682.52,-0.42,254.12,31,0.97
academies,9,967,6.87,794.96,-0.01,408.04,24,0.8
academy,7,12050,9.4,630.97,-0.47,190.44,33,1
Acadia,6,305,5.72,959.62,0.55,299.51,13,0.39
Acapulco,8,180,5.19,927.84,0.28,414.24,25,0.76
accede,6,149,5,967.25,0.46,512.91,12,0.43
acceded,7,62,4.13,880.11,0.21,312.75,18,0.56
accelerando,11,7,1.95,1069.4,1.06,609.99,5,0.16
accelerate,10,2368,7.77,710.85,-0.21,228.69,34,0.97
accelerated,11,3367,8.12,741.56,-0.13,255.87,32,0.94
accelerating,12,1037,6.94,832.61,0.17,344.93,31,0.94
acceleration,12,4203,8.34,712.16,-0.25,268.17,32,0.91
accelerations,13,169,5.13,828.49,0.22,320.23,35,1
accelerator,11,5152,8.55,838.23,-0.07,362.25,35,1
accelerators,12,1466,7.29,791.89,0.11,254.91,28,0.97
accelerometer,13,70,4.25,1130.87,0.97,604.18,15,0.56
accelerometers,14,63,4.14,1029.23,1.13,295.8,13,0.52
accent,6,5213,8.56,674.97,-0.49,283.59,33,1
accented,8,1182,7.07,642.73,-0.42,150.5,30,0.91
accenting,9,54,3.99,819.32,-0.06,300.07,31,0.94
accents,7,1796,7.49,641.22,-0.58,163.73,32,0.94
accentual,9,1,0,865,0.21,294.39,25,0.81
accentuate,10,161,5.08,765.43,0.23,264.27,30,0.91
accentuated,11,193,5.26,938.72,0.43,343.29,29,0.88
accentuates,11,57,4.04,995.73,0.64,461.95,22,0.73
accept,6,49430,10.81,556.39,-0.86,269.94,33,0.97
acceptable,10,16372,9.7,661.06,-0.43,183.3,33,0.97
acceptance,10,8774,9.08,660.75,-0.33,236.56,32,0.97
accepted,8,33901,10.43,597.79,-0.64,133.54,33,0.94
accepting,9,7649,8.94,630.55,-0.54,154.72,33,1
accepts,7,4586,8.43,735.67,-0.37,316.72,30,0.94
access,6,172256,12.06,677.79,-0.47,271.44,33,0.97
accesses,8,2369,7.77,749.39,-0.13,216.13,31,0.97
accessible,10,10758,9.28,709.22,-0.38,321.75,32,1
accessions,10,48,3.87,919.41,0.48,335.02,27,0.87
accessories,11,5737,8.65,704.88,-0.31,255.98,33,1
accessors,9,173,5.15,912.17,0.09,507.75,23,0.72
accessory,9,1342,7.2,687.36,-0.33,194.15,33,0.97
accident,8,11152,9.32,621.78,-0.61,210.39,32,0.97
accidental,10,2346,7.76,691,-0.21,214.29,33,0.97
accidentally,12,4432,8.4,704.6,-0.2,234.04,35,1
accidents,9,4163,8.33,632.74,-0.47,204.38,34,1
acclaim,7,889,6.79,828.19,-0.05,367.1,32,0.94
acclaimed,9,1049,6.96,694.97,-0.21,171.48,30,0.97
acclaims,8,7,1.95,801.13,-0.18,349.42,30,0.91
acclamation,11,26,3.26,816,0.29,272.44,23,0.77
acclimate,9,97,4.57,863.13,0.38,356.33,24,0.77
acclimatized,12,17,2.83,1205.63,1.37,481.51,16,0.48
accolade,8,703,6.56,960.35,0.69,441.56,17,0.55
accolades,9,227,5.42,899.06,0.37,405.83,18,0.53
accommodate,11,2454,7.81,726.15,-0.15,196.9,34,1
accommodated,12,301,5.71,705.59,-0.14,224.03,34,1
accommodates,12,136,4.91,756.63,-0.15,224.15,32,0.94
accommodating,13,447,6.1,760.45,-0.03,212.84,29,0.97
accommodation,13,2006,7.6,864.83,0.07,330.98,35,0.97
accommodations,14,1434,7.27,770.88,0.02,245.32,34,1
accompanied,11,4441,8.4,787.09,-0.01,254.65,32,0.97
accompanies,11,722,6.58,803.45,0.01,355.4,29,0.91
accompaniment,13,711,6.57,728.36,0.09,284.87,22,0.92
accompaniments,14,36,3.58,1015.39,0.84,343.96,23,0.88
accompanist,11,156,5.05,817.18,0.38,271.21,28,0.93
accompanists,12,73,4.29,886.08,0.55,342.92,24,0.89
accompany,9,2138,7.67,725.84,-0.22,279.75,32,0.91
accompanying,12,2991,8,899.42,0.26,402.95,31,0.94
accomplice,10,281,5.64,784.33,-0.06,310.5,33,0.97
accomplices,11,220,5.39,940.52,0.59,390.2,31,0.94
accomplish,10,7794,8.96,773.12,-0.23,321.47,33,0.97
accomplished,12,6982,8.85,726.79,-0.25,272.59,33,1
accomplishes,12,592,6.38,862.14,0.35,252.67,29,1
accomplishing,13,704,6.56,708.63,-0.15,213.01,32,0.94
accomplishment,14,1301,7.17,803.06,0.04,324.4,32,0.97
accomplishments,15,1990,7.6,776.33,0.02,230.25,27,0.93
accord,6,3524,8.17,683.71,-0.38,191.93,31,0.97
accordance,10,4854,8.49,767.24,-0.09,276.87,33,1
accorded,8,563,6.33,763.74,0.01,319.68,31,0.97
according,9,64745,11.08,707.18,-0.45,303.17,33,1
accordingly,11,5108,8.54,736.58,-0.18,306.32,33,0.97
accordion,9,590,6.38,930.2,0.4,306.87,25,0.76
accords,7,974,6.88,680.44,-0.34,202.43,34,1
accost,6,31,3.43,806.81,0.11,309.77,26,0.76
accosted,8,168,5.12,796.65,0.26,324.27,20,0.59
accosting,9,24,3.18,838.54,0.24,261.31,24,0.73
account,7,60958,11.02,619.38,-0.68,162.14,34,1
accountability,14,1478,7.3,821.21,0.17,287.15,34,1
accountable,11,2339,7.76,729.33,-0.19,243.87,33,0.97
accountant,10,1527,7.33,817.19,0.05,386.31,32,0.94
accountants,11,1506,7.32,742.86,-0.22,206.57,35,1
accounted,9,1502,7.31,664.83,-0.43,185.4,35,1
accounting,10,15754,9.66,632.09,-0.43,119.87,34,1
accounts,8,18019,9.8,644.92,-0.6,222.78,36,1
accredit,8,35,3.56,839.71,0.3,406.21,24,0.71
accreditation,13,561,6.33,975,0.61,327.95,31,0.97
accredited,10,1049,6.96,773.91,0.07,345.52,32,0.97
accrue,6,611,6.42,704.89,-0.07,186.64,19,0.56
accrued,7,230,5.44,851.08,0.21,322.62,24,0.73
accrues,7,63,4.14,917.33,0.39,488.23,15,0.45
accruing,8,155,5.04,897.14,0.42,270.69,21,0.64
acculturated,12,24,3.18,1061.47,1.13,405.72,19,0.76
acculturation,13,35,3.56,1047.95,0.79,285.38,19,0.7
accumulate,10,1392,7.24,734.09,-0.24,285.07,34,1
accumulated,11,2137,7.67,748.26,-0.13,218.34,34,1
accumulates,11,249,5.52,749.78,-0.2,223.88,32,0.97
accumulating,12,553,6.32,776.41,-0.05,310.74,34,1
accumulation,12,1206,7.1,859.88,0.03,346.8,33,0.97
accuracy,8,10534,9.26,615.97,-0.61,187.05,33,1
accurate,8,21492,9.98,728.24,-0.22,286.27,33,1
accurately,10,5396,8.59,807.22,-0.01,407.42,32,0.94
accurst,7,4,1.39,914.9,0.26,388.72,10,0.29
accusation,10,2176,7.69,819.06,0.16,215.34,32,0.97
accusations,11,3477,8.15,763.73,-0.06,301.82,30,0.91
accusative,10,103,4.63,1071.37,0.83,536.54,19,0.63
accuse,6,3798,8.24,626.36,-0.52,180.47,33,1
accused,7,9093,9.12,661.97,-0.47,202.39,32,0.97
accuses,7,809,6.7,758.7,-0.11,217.71,30,0.94
accusing,8,2296,7.74,743.55,-0.17,271.41,33,1
accusingly,10,39,3.66,809.74,0.14,257.77,31,0.94
accustom,8,75,4.32,751.48,0.01,204.72,25,0.83
accustomed,10,1691,7.43,735.72,-0.17,168.83,32,1
ace,3,6967,8.85,579.03,-0.61,126.87,34,1
acerbic,7,76,4.33,829.89,0.54,268.01,9,0.28
aces,4,1837,7.52,768.94,-0.08,310,31,0.91
acetate,7,547,6.3,856.65,0.42,251.46,26,0.76
acetone,7,423,6.05,793.04,0.04,249.36,24,0.73
acetylene,9,82,4.41,1084,0.8,366.87,17,0.52
ache,4,846,6.74,631.66,-0.5,163.52,29,0.91
ached,5,296,5.69,797.04,0.04,303.88,28,0.88
aches,5,419,6.04,683.77,-0.33,313.22,31,0.91
achieve,7,15544,9.65,702.82,-0.49,264.47,33,0.97
achieved,8,8305,9.02,700.09,-0.32,276.35,32,0.97
achievement,11,3925,8.28,746.68,-0.21,308.75,34,1
achievements,12,2085,7.64,700.36,-0.22,171.26,33,1
achieves,8,762,6.64,757.23,-0.07,299.65,31,0.91
achieving,9,3180,8.06,657.17,-0.27,221,30,0.94
Achilles,8,688,6.53,751.19,0.16,172.15,26,0.81
aching,6,1099,7,799.6,-0.11,362.43,30,0.91
acid,4,13610,9.52,615.69,-0.57,223.81,32,0.97
acidic,6,809,6.7,753.85,-0.02,127.23,26,0.76
acidity,7,256,5.55,738.67,-0.09,232.28,27,0.82
acids,5,2326,7.75,636.75,-0.42,196.23,32,0.91
acknowledge,11,6783,8.82,771.38,-0.15,396.39,32,0.97
acknowledged,12,3936,8.28,810.85,0.09,278.23,34,1
acknowledgement,15,1823,7.51,735.76,0.1,230.55,29,0.88
acknowledges,12,1067,6.97,951.52,0.61,340.44,33,0.94
acknowledging,13,1216,7.1,857.81,0.24,331.74,32,0.97
acknowledgment,14,948,6.85,850.67,0.28,361.37,33,1
acknowledgments,15,409,6.01,917.36,0.29,415.6,28,0.9
acme,4,911,6.81,772,-0.22,335.82,28,0.85
acne,4,536,6.28,627.94,-0.55,142.24,32,0.94
acolyte,7,444,6.1,731.18,0.05,143.32,11,0.35
acorn,5,8301,9.02,721.96,-0.24,232.61,27,0.79
acorns,6,359,5.88,735.07,-0.05,245.97,30,0.88
acoustic,8,5401,8.59,793.44,0.19,301.39,32,0.97
acoustical,10,270,5.6,855.69,0.49,259.47,29,0.94
acoustically,12,157,5.06,988.35,0.66,411.05,26,0.87
acoustics,9,1240,7.12,789.03,-0.02,260.92,30,0.91
acquaint,8,167,5.12,858.73,0.09,286.94,30,0.94
acquaintance,12,1275,7.15,807.45,0.08,264.89,31,1
acquainted,10,1022,6.93,796.61,-0.03,379.64,33,0.97
acquiesce,9,108,4.68,881.84,0.52,224.3,19,0.59
acquiesced,10,111,4.71,934.5,0.61,337.45,12,0.4
acquiescence,12,91,4.51,927.75,0.51,304.04,24,0.75
acquiescent,11,19,2.94,714,-0.01,200.33,17,0.57
acquire,7,6529,8.78,673.94,-0.3,219.41,33,0.94
acquired,8,6388,8.76,710,-0.18,252.3,32,0.97
acquires,8,460,6.13,748.42,-0.3,252.53,33,0.97
acquiring,9,1952,7.58,731.74,-0.15,154.27,31,0.91
acquisition,11,5006,8.52,785.59,0,206.61,32,0.94
acquisitions,12,1098,7,779.12,0.13,252.61,33,0.97
acquisitive,11,40,3.69,908.64,0.59,317.37,28,0.93
acquisitiveness,15,4,1.39,1216.81,0.92,487.33,16,0.64
acquit,6,100,4.61,832.44,0.28,279.25,25,0.86
acquittal,9,249,5.52,905.54,0.39,321.68,26,0.81
acquitted,9,608,6.41,802.06,0.16,307.03,33,1
acre,4,1554,7.35,723,-0.2,183.57,32,0.97
acreage,7,231,5.44,1018,1.15,420.15,6,0.19
acres,5,3930,8.28,679.03,-0.29,172.46,33,0.97
acrid,5,111,4.71,762.29,0.17,290.2,17,0.52
acrimonious,11,113,4.73,1115.45,0.97,426.13,11,0.33
acrimony,8,89,4.49,784.5,0.21,222.5,12,0.36
acrobat,7,2449,7.8,755.88,-0.16,293.13,33,0.97
acrobatic,9,167,5.12,832.78,0.21,313.76,32,0.97
acrobatics,10,401,5.99,958.93,0.49,436.04,30,0.94
acrobats,8,66,4.19,715.18,-0.18,234.64,33,1
acronym,7,1966,7.58,831.33,0.26,248.16,27,0.79
Acropolis,9,109,4.69,905,0.31,320.57,25,0.78
across,6,62336,11.04,589.47,-0.58,196.12,34,1
acrylic,7,844,6.74,782.81,0.04,255.78,32,0.97
act,3,72216,11.19,635.18,-0.56,284.1,33,1
acted,5,4894,8.5,652.76,-0.47,201.46,33,0.97
acting,6,16012,9.68,584.81,-0.72,140.15,32,0.97
action,6,77756,11.26,564.13,-0.8,148.68,32,1
actions,7,29726,10.3,643.75,-0.53,260.29,32,1
activate,8,3486,8.16,657.35,-0.45,195.9,34,0.97
activated,9,3246,8.09,752.13,-0.23,368.86,32,1
activating,10,655,6.48,700.47,-0.32,202.58,34,0.94
activation,10,1918,7.56,806.54,0.19,288.92,35,1
active,6,35565,10.48,632.74,-0.59,216.67,35,1
actively,8,7101,8.87,703.78,-0.3,224.93,32,0.94
activism,8,1558,7.35,653.09,-0.4,209.95,33,0.97
activist,8,3525,8.17,697.69,-0.24,243.33,32,1
activities,10,32765,10.4,713.27,-0.3,362.61,30,0.91
activity,8,26484,10.18,714.84,-0.37,283.83,31,1
actor,5,10471,9.26,539.97,-0.83,144.54,33,0.97
actors,6,7249,8.89,647.87,-0.45,248.86,31,0.94
actor's,7,363,5.89,588.29,-0.66,164.54,34,1
actress,7,4996,8.52,687.53,-0.49,254.19,34,1
actresses,9,1663,7.42,860.76,0.24,233.95,33,0.97
acts,4,19423,9.87,590.34,-0.64,228.74,35,1
actual,6,40919,10.62,623.32,-0.63,206.76,34,0.97
actualities,11,38,3.64,833.86,0.15,437,28,0.85
actuality,9,950,6.86,829,0.05,314.57,34,1
actually,8,196457,12.19,647.27,-0.44,261.29,33,1
actuary,7,49,3.89,711.67,0.08,234.1,18,0.55
acuity,6,228,5.43,862.47,0.22,316.5,15,0.56
acupuncture,11,525,6.26,853.2,0.32,361.82,30,0.91
acute,5,2427,7.79,649.53,-0.45,235.96,34,1
acutely,7,332,5.81,818.93,0.22,321.29,30,0.91
acuteness,9,19,2.94,874.47,0.32,325.4,32,0.94
ad,2,43254,10.67,740.94,-0.3,300.43,33,0.94
Ada,3,15432,9.64,882.82,0.46,319.06,17,0.49
adage,5,503,6.22,769.85,0.38,209.04,13,0.41
Adam,4,19626,9.88,602.12,-0.58,150.23,33,0.94
adamant,7,624,6.44,823,0.2,233.97,21,0.66
adamantly,9,329,5.8,836,0.42,201.92,20,0.65
Adam's,6,744,6.61,611.76,-0.52,144,34,1
adapt,5,3389,8.13,660.36,-0.56,228.18,33,1
adaptability,12,229,5.43,893.61,0.45,273.62,28,0.9
adaptable,9,802,6.69,899.62,0.08,476.72,29,0.85
adaptation,10,2000,7.6,804.5,0.09,257.4,32,0.94
adaptations,11,510,6.23,825.94,0.03,257.89,32,0.94
adapted,7,3098,8.04,684.82,-0.42,287.42,33,1
adapter,7,15074,9.62,813.59,0.01,341.63,34,1
adapters,8,4651,8.44,811.64,0.1,286.16,33,0.97
adapting,8,729,6.59,754.36,-0.29,308.18,33,1
Ada's,5,166,5.11,926.58,0.4,255.91,19,0.56
add,3,113856,11.64,657.55,-0.58,323.29,33,1
added,5,62085,11.04,644,-0.56,192.97,33,1
addendum,8,1340,7.2,936.31,0.52,221.44,16,0.48
adder,5,351,5.86,732,0.18,180.93,17,0.49
addict,6,1887,7.54,600.9,-0.7,151.83,31,0.97
addicted,8,2311,7.75,661.73,-0.43,141.79,33,1
addiction,9,3437,8.14,628.29,-0.46,209.47,35,0.97
addicts,7,1909,7.55,722.97,-0.24,313.9,32,1
adding,6,24066,10.09,648.36,-0.46,231.35,33,1
addition,8,46938,10.76,601.69,-0.58,187.71,29,0.91
additional,10,56018,10.93,678.94,-0.3,202.68,33,0.97
additionally,12,6651,8.8,820.39,0.13,365.74,33,0.97
additions,9,9274,9.13,718.52,-0.04,294.46,33,0.97
additive,8,903,6.81,711.35,-0.09,206.42,31,0.97
additives,9,1265,7.14,782.39,-0.06,306.12,33,0.97
addle,5,7,1.95,1107.13,0.29,717.3,8,0.24
address,7,221551,12.31,582.3,-0.67,136.64,33,1
addressed,9,12135,9.4,673.31,-0.54,216.5,35,1
addressee,9,230,5.44,944.86,0.55,319.52,22,0.67
addressees,10,100,4.61,763.76,-0.05,290.82,29,0.91
addresses,9,35300,10.47,757.77,-0.27,241.02,31,0.97
addressing,10,7146,8.87,689.76,-0.36,261.86,33,1
adds,4,11870,9.38,632.21,-0.47,169.82,34,1
adduce,6,87,4.47,748.67,-0.04,106.37,3,0.1
Adele,5,212,5.36,881.29,0.23,302.9,21,0.64
adept,5,1754,7.47,759.21,-0.14,318.26,24,0.75
adequacy,8,407,6.01,780.64,0.15,250.69,28,0.9
adequate,8,8178,9.01,674.69,-0.28,134.68,32,0.97
adequately,10,2873,7.96,698.24,-0.29,204.12,25,0.86
adhere,6,1932,7.57,720.67,-0.21,216.08,30,0.94
adhered,7,387,5.96,781.91,0.16,313.16,22,0.67
adherence,9,903,6.81,880.56,0.27,356.79,25,0.78
adherent,8,143,4.96,823.79,0.04,355.74,24,0.75
adherents,9,692,6.54,912.07,0.5,356.44,27,0.84
adheres,7,263,5.57,822.82,0.14,214.61,28,0.9
adhesion,8,377,5.93,912.42,0.27,366.84,24,0.71
adhesive,8,938,6.84,787.21,-0.06,303.13,33,0.97
adhesives,9,160,5.08,766.38,0.07,310.99,29,0.85
adieu,5,142,4.96,900.14,0.35,226.07,22,0.65
adios,5,494,6.2,746.42,0,161.26,19,0.56
adipose,7,124,4.82,887.36,0.52,267.85,14,0.44
adirondack,10,352,5.86,981.1,0.81,234.25,10,0.33
adirondacks,11,119,4.78,917.21,0.82,355.97,14,0.41
adjacent,8,3297,8.1,748.12,-0.09,241.74,33,1
adjectival,10,39,3.66,1051,0.99,311.83,10,0.34
adjective,9,1045,6.95,671.35,-0.41,266.38,31,0.94
adjectives,10,618,6.43,749.84,-0.18,196.43,32,0.97
adjoin,6,10,2.3,907.9,0.27,378.8,21,0.64
adjoined,8,18,2.89,754.28,-0.1,306.96,29,0.85
adjoining,9,627,6.44,809.74,0.2,311.93,31,0.91
adjoins,7,33,3.5,891.85,0.25,430.46,27,0.82
adjourn,7,167,5.12,733.67,-0.1,193.05,30,0.94
adjourned,9,221,5.4,890.55,0.14,451.83,31,0.91
adjourning,10,7,1.95,820.21,0.28,202,28,0.85
adjournment,11,104,4.64,977.61,0.31,490.31,28,0.85
adjourns,8,11,2.4,863,0.21,297.92,25,0.76
adjudge,7,11,2.4,784.6,-0.05,223.14,5,0.15
adjudged,8,64,4.16,878.27,0.8,240.97,11,0.35
adjudging,9,2,0.69,1019.43,1.15,388.52,7,0.22
